Symbol,Index Membership
360ONE.NS,"Nifty 200, Nifty 500, Nifty Capital Markets, Nifty Midcap 150, Nifty Midcap150 Quality 50"
3MINDIA.NS,"Nifty 500, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50"
AADHARHFC.NS,"Nifty 500, Nifty Smallcap 250"
AARTIDRUGS.NS,Nifty Microcap 250
AARTIIND.NS,"Nifty 500, Nifty Chemicals, Nifty Smallcap 250"
AARTIPHARM.NS,Nifty Microcap 250
AAVAS.NS,"Nifty 500, Nifty Smallcap 250"
ABB.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Energy, Nifty India Manufacturing, Nifty Next 50, Nifty200 Momentum 30"
ABBOTINDIA.NS,"Nifty 500, Nifty Healthcare Index, Nifty Midcap 150, Nifty Midcap150 Quality 50, Nifty Pharma"
ABCAPITAL.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty High Beta 50, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty200 Momentum 30"
ABDL.NS,"Nifty 500, Nifty Smallcap 250"
ABFRL.NS,"Nifty 500, Nifty Smallcap 250"
ABLBL.NS,"Nifty 500, Nifty Smallcap 250"
ABREL.NS,"Nifty 500, Nifty Realty, Nifty Reits & Realty, Nifty Smallcap 250"
ABSLAMC.NS,"Nifty 500, Nifty Capital Markets, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
ACC.NS,"Nifty 500, Nifty Cement, Nifty Midcap 150"
ACE.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
ACI.NS,Nifty Microcap 250
ACMESOLAR.NS,"Nifty 500, Nifty Smallcap 250"
ACUTAAS.NS,"Nifty 500, Nifty Alpha 50, Nifty Smallcap 250"
ADANIENSOL.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Commodities, Nifty Energy, Nifty High Beta 50, Nifty Housing, Nifty Next 50, Nifty200 Momentum 30"
ADANIENT.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty High Beta 50, Nifty Metal"
ADANIGREEN.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Commodities, Nifty Energy, Nifty High Beta 50, Nifty Housing, Nifty Infrastructure, Nifty Next 50, Nifty200 Momentum 30"
ADANIPORTS.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty High Beta 50, Nifty Infrastructure, Nifty Transportation & Logistics"
ADANIPOWER.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Commodities, Nifty Energy, Nifty Housing, Nifty India Consumption, Nifty Next 50, Nifty200 Momentum 30"
ADVANCE.NS,Nifty Ipo
ADVENZYMES.NS,Nifty Microcap 250
AEGISLOG.NS,"Nifty 500, Nifty Energy, Nifty Oil & Gas, Nifty Smallcap 250"
AEGISVOPAK.NS,"Nifty 500, Nifty Oil & Gas, Nifty Smallcap 250"
AEQUS.NS,"Nifty India Defence, Nifty Ipo, Nifty Microcap 250"
AETHER.NS,Nifty Microcap 250
AFCONS.NS,"Nifty 500, Nifty Smallcap 250"
AFFLE.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
AGARWALEYE.NS,Nifty Microcap 250
AGL.NS,Nifty Microcap 250
AHCL.NS,Nifty Ipo
AHLUCONT.NS,Nifty Microcap 250
AIAENG.NS,"Nifty 500, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50"
AIIL.NS,"Nifty 500, Nifty Midcap 150"
AJANTPHARM.NS,"Nifty 500, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50, Nifty Pharma"
AKUMS.NS,Nifty Microcap 250
ALIVUS.NS,Nifty Microcap 250
ALKEM.NS,"Nifty 200, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Healthcare Index, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Quality 50, Nifty Pharma"
ALKYLAMINE.NS,Nifty Microcap 250
ALLTIME.NS,Nifty Ipo
ALOKINDS.NS,Nifty Microcap 250
AMAGI.NS,Nifty Ipo
AMBER.NS,"Nifty 500, Nifty Alpha 50, Nifty Consumer Durables, Nifty High Beta 50, Nifty Smallcap 250"
AMBUJACEM.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Cement, Nifty Commodities, Nifty Housing, Nifty Infrastructure, Nifty Next 50"
AMIRCHAND.NS,Nifty Ipo
ANANDRATHI.NS,"Nifty 500, Nifty Alpha 50, Nifty Capital Markets, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
ANANTRAJ.NS,"Nifty 500, Nifty Realty, Nifty Reits & Realty, Nifty Smallcap 250"
ANGELONE.NS,"Nifty 500, Nifty Capital Markets, Nifty Dividend Opportunities 50, Nifty High Beta 50, Nifty India Internet, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
